27462785.000000, 57.053224, 9.918184
27464487.000000, 57.059731, 9.918446
27464493.000000, 57.057575, 9.922434
27464543.000000, 57.051682, 9.918549
27475663.000000, 57.045007, 9.928775
27475664.000000, 57.045658, 9.929103
27475665.000000, 57.037919, 9.935660
27475667.000000, 57.036973, 9.936978
27475668.000000, 57.036567, 9.937583
27475669.000000, 57.035648, 9.939065
27475670.000000, 57.034869, 9.940205
27475671.000000, 57.034213, 9.941202
27475678.000000, 57.029356, 9.944405
28090744.000000, 57.052207, 9.917252
28090774.000000, 57.046078, 9.934406
28090788.000000, 57.046172, 9.931422
28090808.000000, 57.045234, 9.930829
28090846.000000, 57.042395, 9.930684
28090847.000000, 57.041437, 9.931143
28090848.000000, 57.039701, 9.931912
28090851.000000, 57.041013, 9.910587
28090852.000000, 57.037636, 9.931512
28090853.000000, 57.040045, 9.914999
28090856.000000, 57.039332, 9.920399
28090857.000000, 57.039753, 9.917199
28090859.000000, 57.038224, 9.925529
28090860.000000, 57.038913, 9.922465
28090861.000000, 57.037737, 9.928576
28090862.000000, 57.037795, 9.927874
28090867.000000, 57.041895, 9.908520
28090868.000000, 57.047466, 9.903163
28090871.000000, 57.044933, 9.903847
28090872.000000, 57.045463, 9.903521
28090873.000000, 57.060369, 9.917756
28090875.000000, 57.060523, 9.917401
28090882.000000, 57.060939, 9.916225
28390787.000000, 57.051888, 9.912867
28390799.000000, 57.052976, 9.913670
28390800.000000, 57.052886, 9.914598
28390801.000000, 57.052899, 9.916380
28390803.000000, 57.052882, 9.916750
28390804.000000, 57.052822, 9.917279
28390805.000000, 57.052795, 9.917436
28390807.000000, 57.052588, 9.918016
28390825.000000, 57.050371, 9.921623
28390826.000000, 57.050803, 9.919256
28390832.000000, 57.051320, 9.916576
28390842.000000, 57.049356, 9.916305
28390851.000000, 57.048012, 9.915546
28390853.000000, 57.047839, 9.915688
28390856.000000, 57.047063, 9.914581
28390881.000000, 57.022796, 9.903497
28390886.000000, 57.023565, 9.904249
28390888.000000, 57.024030, 9.904669
28390906.000000, 57.038862, 9.910130
28390914.000000, 57.033316, 9.950499
28390917.000000, 57.033841, 9.954331
28390919.000000, 57.033864, 9.955401
28390924.000000, 57.033735, 9.959992
28390925.000000, 57.033483, 9.961405
28390933.000000, 57.031453, 9.970017
28390935.000000, 57.031264, 9.970815
28390938.000000, 57.030806, 9.972746
28390940.000000, 57.030436, 9.974703
28390944.000000, 57.029789, 9.988127
28390945.000000, 57.029684, 9.990247
28390946.000000, 57.029412, 9.992535
28390947.000000, 57.029061, 9.994345
28390952.000000, 57.028872, 9.995150
28390953.000000, 57.028354, 9.996769
28390963.000000, 57.032997, 9.963920
28390979.000000, 57.032730, 9.942841
28390982.000000, 57.033757, 9.954370
28390983.000000, 57.026693, 9.927364
28390984.000000, 57.026744, 9.928446
28390986.000000, 57.026665, 9.929337
28390994.000000, 57.024779, 9.941023
28445566.000000, 57.026263, 9.927393
28445567.000000, 57.026004, 9.927375
28445584.000000, 57.019022, 9.925780
28445585.000000, 57.018767, 9.925753
28445586.000000, 57.018765, 9.925633
28445587.000000, 57.019055, 9.925674
28445603.000000, 57.025960, 9.927180
28445604.000000, 57.026267, 9.927173
28445605.000000, 57.026709, 9.927135
28445607.000000, 57.046075, 9.934590
28445608.000000, 57.046882, 9.934468
28445610.000000, 57.046876, 9.934294
28445611.000000, 57.047486, 9.934231
28445614.000000, 57.048477, 9.934074
28445620.000000, 57.047487, 9.934082
28445622.000000, 57.048742, 9.931202
28445668.000000, 57.046694, 9.945884
28445695.000000, 57.047024, 9.934778
28445696.000000, 57.047003, 9.934384
28445697.000000, 57.047014, 9.934209
28783000.000000, 57.029261, 9.941876
28783003.000000, 57.019908, 9.968037
28783005.000000, 57.019438, 9.968502
28783008.000000, 57.019560, 9.967835
28783010.000000, 57.019731, 9.968758
28783011.000000, 57.019582, 9.968738
28783013.000000, 57.019939, 9.968357
28783014.000000, 57.019769, 9.967818
28783015.000000, 57.019412, 9.968196
28783019.000000, 57.019689, 9.975541
28783202.000000, 57.009660, 9.982976
28783203.000000, 57.009363, 9.982853
28783206.000000, 57.008456, 9.982559
28783207.000000, 57.008157, 9.982395
28783209.000000, 57.007937, 9.982138
28783211.000000, 57.007747, 9.981265
28783212.000000, 57.007667, 9.980838
28783216.000000, 57.007545, 9.979848
28783219.000000, 57.007180, 9.978994
28783656.000000, 57.044393, 9.948629
28783658.000000, 57.044121, 9.949068
28783660.000000, 57.043753, 9.949565
28783663.000000, 57.042632, 9.950390
28783695.000000, 57.034167, 9.954121
28783700.000000, 57.033826, 9.954213
28784623.000000, 57.033413, 9.954458
28784662.000000, 57.021641, 9.965429
28784663.000000, 57.021385, 9.965994
28784667.000000, 57.020522, 9.967752
28784668.000000, 57.020412, 9.967827
28784673.000000, 57.020199, 9.967950
28784969.000000, 57.042536, 9.930643
28784970.000000, 57.042396, 9.930499
28784971.000000, 57.042517, 9.930434
28784972.000000, 57.042050, 9.930678
28784975.000000, 57.039491, 9.931764
28784977.000000, 57.039182, 9.931717
28784980.000000, 57.037748, 9.931346
28784981.000000, 57.037748, 9.931543
28784982.000000, 57.039490, 9.931959
28784986.000000, 57.043475, 9.930259
28784988.000000, 57.042503, 9.925267
28784989.000000, 57.042449, 9.925251
28784990.000000, 57.042450, 9.925115
28784991.000000, 57.042504, 9.925128
28785044.000000, 57.042486, 9.918556
28785106.000000, 57.012356, 9.980237
28785107.000000, 57.012156, 9.980309
28785108.000000, 57.011977, 9.980314
28785109.000000, 57.011869, 9.980346
